English,Italian
I am,sono
I,io
his,il suo
that,che
he,lui
he/she was,era
for,per
on,su
as/like,come
with,con
they,loro
to be,essere
at,a
one,uno
to have,avere
this,questo
from,da
by,di
hot,caldo
word,parola
but,ma
what,cosa
some,alcuni
is,è
that,quello
you (pl),voi
or,o
had,aveva
the,il
of,di
to,a
and,e
a,un
in,in
we,noi
can (of soda),lattina
out,fuori
other,altro
were,erano
which,che / quale
to do/make,fare
their,loro
time,tempo
if,se
will,volontà
how,come
said,detto
an,un
each,ogni
tell,dire
does,fa
set (unchanging),fisso
three,tre
desire,desiderare
air,aria
well,bene
also,anche
play,giocare
small,piccolo
end,fine
put,mettere
home,casa
read,leggere
hand,mano
carry,portare
large,grande
spell (words),compitare
add,aggiungere
even/also,anche
land,terra
here,qui
I must,devo
big,grande
high/tall,alto
such,tale
follow,seguire
an act,atto
why,perché
ask,chiedere
men,maschi
a change,cambiamento
he/she went,è andato
light,luce
kind (of thing),tipo
turned off,spento
need,bisogno
house,casa
image,immagine
try,provare
us,noi
again,di nuovo
animal,animale
point,punto
mother,madre
world,mondo
near,vicino
build,costruire
himself,se stesso
earth,terra
father,padre
any,qualsiasi
new,nuovo
work,lavoro
part,parte
take,prendere
get,ottenere
place,posto
made,fatto
live,vivere
where,dove
after,dopo
back,indietro
little,poco
only,solo
round,turno
man,uomo
year,anno
came,è venuto
show,spettacolo
every,ogni
good,buono
me,me
give,dare
our,il nostro
under,sotto
name,nome
very,molto
through,attraverso
just,solo
form,forma
sentence,frase
great,grande
think,pensare
say,dire
help,aiutare
low,basso
line,linea
differ,differire
turn,turno
cause,causa
much,molto
mean,dire
before,prima
move,spostare
right,diritto
boy,ragazzo
old,vecchio
too,troppo
same,stesso
she,lei
all,tutto
there,ci
when,quando
up,su
use,uso
your,il tuo
way,modo
about,circa
many,molti
then,allora
them,loro
write,scrivere
would,sarebbe
like,come
so,così
these,queste
her,lei
long,lungo
make,rendere
thing,cosa
see,vedere
him,lui
two,due
has,ha
look,guardare
more,di più
day,giorno
could,potuto
go,andare
come,venire
did,ha fatto
number,numero
sound,suono
no,no
most,più
people,persone
my,il mio
over,oltre
know,sapere
water,acqua
than,di
call,chiamata
first,primo
who,che
may,può
down,giù
side,lato
been,stato
now,ora
find,trovare
