English,Portuguese
as,como
I,I
his,seu
that,que
he,ele
was,foi
for,para
on,em
are,são
with,com
they,eles
be,ser
at,em
one,uma
have,tem
this,este
from,a partir de
by,por
hot,quente
word,palavra
but,mas
what,o que
some,alguns
is,é
it,ele
you,você
or,ou
had,teve
the,o
of,de
to,a
and,e
a,uma
in,em
we,nós
can,lata
out,fora
other,outro
were,foram
which,que
do,fazer
their,seu
time,tempo
if,se
will,vontade
how,como
said,disse
an,uma
each,cada
tell,dizer
does,faz
set,conjunto
three,três
want,quer
air,ar
well,bem
also,também
play,jogar
small,pequeno
end,fim
put,colocar
home,casa
read,ler
hand,mão
port,port
large,grande
spell,soletrar
add,adicionar
even,mesmo
land,terra
here,aqui
must,necessário
big,grande
high,alto
such,tais
follow,siga
act,ato
why,por que
ask,perguntar
men,homens
change,mudança
went,fui
light,luz
kind,tipo
off,off
need,precisa
house,casa
picture,imagem
try,tentar
us,nós
again,novamente
animal,animais
point,ponto
mother,mãe
world,mundo
near,perto
build,construir
self,auto
earth,terra
father,pai
any,qualquer
new,novo
work,trabalho
part,parte
take,tomar
get,obter
place,lugar
made,feito
live,viver
where,onde
after,depois
back,de volta
little,pouco
only,apenas
round,rodada
man,homem
year,ano
came,veio
show,exposição
every,cada
good,bom
me,me
give,dar
our,nossa
under,sob
name,nome
very,muito
through,através
just,justo
form,forma
sentence,sentença
great,grande
think,acho que
say,dizer
help,ajudar
low,baixo
line,linha
differ,diferir
turn,vez
cause,causa
much,muito
mean,significar
before,antes
move,mudança
right,direito
boy,menino
old,velho
too,também
same,mesmo
she,ela
all,tudo
there,lá
when,quando
up,up
use,usar
your,seu
way,maneira
about,sobre
many,muitos
then,depois
them,eles
write,escrever
would,faria
like,como
so,assim
these,estes
her,seu
long,longo
make,fazer
thing,coisa
see,veja
him,ele
two,dois
has,tem
look,olhar
more,mais
day,dia
could,poderia
go,ir
come,vir
did,fez
number,número
sound,som
no,não
most,mais
people,pessoas
my,meu
over,sobre
know,sei
water,água
than,que
call,chamada
first,primeiro
who,que
may,pode
down,para baixo
side,lado
been,sido
now,agora
head,cabeça
